[1:4]	[3:5]
44.1512	0.00272578
44.1516	-0.0087142
44.1279	-0.00776148
44.1333	-0.00672174
44.0882	-0.00778174
44.1168	0.000558734
44.0341	-0.00373703
43.8788	-0.0161062
43.8841	0.00364649
43.8887	-0.0192314
43.7976	0.0130891
43.7747	-0.0151814
43.7983	-0.0103338
43.8273	-0.000709713
43.7033	-0.00875843
43.7224	0.00201505
43.8441	-0.0136661
43.8269	0.00178272
43.8403	-0.0176046
43.9036	0.00381052
44.028	-0.00664508
44.0699	-0.00680494
44.0566	-0.00307363
44.1638	-0.0182103
44.271	0.00598949
44.2549	-0.00620413
44.2218	-0.00837165
44.2031	-0.00462639
44.2759	-0.0138547
44.2046	0.00150973
44.234	0.00245166
44.245	-0.0234857
44.316	0.00347435
44.2546	-0.010891
44.1321	-0.00431913
44.1455	0.00346261
44.0886	-0.0229032
44.0348	0.00357991
43.9585	-0.0184845
44.0386	0.00767624
43.9879	-0.00338989
43.8803	-0.019233
43.8117	0.0052433
43.8391	-0.0245312
43.822	0.0097701
43.7155	-0.00562739
43.8143	-0.0066638
43.9009	-0.00688869
43.8567	-0.0120342
43.8319	-0.000178635
43.9246	-0.00480872
43.9887	-0.000649869
43.9589	-0.0125651
43.8914	-0.0130761
43.9055	0.00547296
43.97	-0.00693309
43.9624	-0.0105082
43.9768	-0.00235224
44.0863	-0.0133702
44.197	-0.0023542
44.1245	-0.00401521
44.0596	-0.00733054
44.113	-0.00396246
44.1233	-0.0141644
44.0726	0.00416684
44.0604	-0.00472742
44.1481	-0.0200282
44.1188	0.00475854
43.986	-0.0133728
44.0028	0.00408584
44.0448	-0.0063194
43.9833	-0.0144945
43.9639	0.000862241
43.9856	-0.0165498
44.0131	0.0128277
43.9585	-0.0169769
43.9131	-0.00864881
43.9498	-0.000209033
43.9356	-0.00875956
43.8986	-0.00166202
43.8124	-0.00906813
43.8254	-0.00273639
43.8731	-0.0158435
43.8273	0.00477445
43.8487	-0.00866562
43.9521	-0.00668561
44.052	-0.00488335
43.9944	-0.017044
43.9799	0.00612801
44.0531	-0.00524771
44.0871	-0.00934386
44.0215	-0.00390655
44.0779	-0.0117049
44.1504	-0.00306368
44.1687	0.00326473
44.0531	-0.0177915
44.1107	-0.000724137
44.1619	-0.012936
44.1497	0.000478923
44.1077	-0.00324452
44.1306	-0.0114391
44.1462	-0.00993592
44.1298	-0.00745821
44.0215	0.00336987
44.0238	-0.00628161
44.0707	-0.0168165
43.8437	0.00289172
43.7709	-0.0180079
43.7167	0.00343788
43.7438	-0.00421453
43.6568	-0.00214708
43.6576	-0.0169978
43.7308	-0.00389278
43.7468	-0.00526088
43.6602	0.000569522
43.669	-0.0106379
43.6713	-0.00152504
43.6637	-0.0187144
43.6713	0.00545639
43.7873	-0.00993723
43.8693	-0.00275123
43.8651	-0.00970352
43.8773	-0.00921661
43.907	-0.00191438
44.0455	-0.00585324
44.1039	-0.00610673
44.023	-0.00931221
44.1947	-0.00800782
44.3335	-0.000774324
44.2889	-0.00370669
44.2229	-0.0173552
44.2416	0.00143003
44.2748	-0.00793844
44.1447	-0.00856656
44.0688	0.00432068
44.0707	-0.019952
44.0478	0.00843412
43.9181	-0.0220554
43.9452	0.00957012
43.957	-0.0125794
43.9772	-0.0072521
43.7903	-0.00512457
43.7777	-0.0107708
43.7712	0.000887871
43.7415	-0.00912601
43.7041	0.00118214
43.7968	-0.0219857
43.9189	0.00450629
43.9116	-0.00392932
43.8906	-0.00624943
43.9822	-0.00441748
44.0245	-0.0226154
44.0867	0.00910395
44.102	-0.00923431
44.2954	-0.00699103
44.3438	-0.00818324
44.3492	-0.0105261
44.3213	-0.00107187
44.3881	0.00349981
44.3999	-0.021795
44.348	0.00105554
44.2496	-0.0129536
44.2549	-0.00050658
44.2397	0.000563204
44.163	-0.0237792
44.1355	0.0056203
44.1718	-0.0197642
44.0966	0.0128144
44.0165	-0.0128945
43.8666	-0.0149279
43.9017	0.00567496
43.7647	-0.0253904
43.6782	0.0102356
43.722	-0.00901842
43.8014	-0.00221688
43.7522	-0.0127903
43.664	-0.00841165
43.7159	-0.00116581
43.8346	-0.00550681
43.7598	-0.000505507
43.7682	-0.0130616
43.9124	-0.00937521
44.0287	-0.0024299
44.0089	-0.00258589
44.097	-0.00491476
44.184	-0.00874019
44.287	-0.0148237
44.2057	0.00298011
44.205	-0.0071165
44.2427	-0.00143474
44.2816	-0.0131316
44.15	-0.00850606
44.2462	0.00314623
44.2969	-0.00561047
44.2462	-0.0127842
44.1554	-0.00570893
44.1012	-0.00126958
44.0577	-0.00961196
44.0131	0.000311375
43.8536	-0.0125913
43.9284	0.000272632
43.9475	-0.0137962
43.8532	0.0036031
43.8063	-0.0106208
43.8357	-0.00733382
43.8471	-0.00487918
43.7735	-0.00851089
43.796	-3.18885e-005
43.9051	-0.0102351
43.9326	-0.00263983
43.8979	-0.0181867
43.9288	0.00560451
44.0787	-0.00453478
44.1043	-0.0137809
43.9742	0.00146854
44.018	-0.0214202
44.1821	0.0106686
44.2294	-0.00973117
44.1504	-0.00478071
44.1729	-0.00737178
44.1775	-0.0109805
44.1664	-0.000540972
44.0718	0.000500679
44.1603	-0.0174031
44.2538	0.00276923
44.1371	-0.0159448
44.0478	0.00393522
44.0936	-0.00472051
44.1386	-0.0202324
44.134	0.00511479
43.9746	-0.0184872
44.0013	0.00832254
43.9727	-0.00556099
43.8098	-0.0211543
43.7743	0.0142193
43.8243	-0.0313005
43.7697	0.0139116
43.6389	-0.0122098
43.561	-0.00310326
43.6579	-0.00881886
43.6434	-0.00927109
43.5816	-0.00247627
43.6679	-0.00441641
43.7602	-0.00505793
43.8006	-0.00276971
43.7461	-0.0220327
43.8594	0.00915664
43.8941	-0.0113261
43.9707	-0.000683665
43.9753	-0.0136342
44.0558	-0.0124916
44.0547	0.00182271
44.0623	-0.00618017
44.052	-0.00537008
44.1519	-0.0115463
44.1531	-0.0074957
44.1607	4.06504e-005
44.1489	-0.00694865
44.1744	-0.0169634
44.1428	0.00138342
44.1046	-0.00726664
44.0623	-0.00666779
44.0627	-0.00155139
43.986	-0.0144818
43.917	-0.00226194
43.9067	-0.0146051
43.8655	0.00865573
43.9196	-0.0198559
43.8315	-0.00135714
43.8353	-0.00821531
43.878	-0.012493
43.9398	0.00236273
43.8018	-0.0176474
43.7945	0.0020799
43.9013	-0.0178717
43.8704	-0.00371408
43.8349	-0.00755239
44.0104	-0.00677532
44.0829	-0.00844973
44.0287	-0.0147821
44.1249	-0.00754899
44.1867	0.00316918
44.1706	-0.0165707
44.1493	-0.00106841
44.1649	-0.0149813
44.2641	-0.00825882
44.3228	0.000418842
44.1962	-0.0207668
44.2439	0.00147325
44.3324	-0.0132011
44.1764	-0.0092563
44.1214	0.00474334
44.0989	-0.0274677
44.1401	0.00774306
44.0825	-0.0236586
43.9147	0.00993592
44.0169	-0.00902474
43.9665	-0.0203445
43.7819	0.0041371
43.7205	-0.0195493
43.7132	0.00473487
43.8567	-0.000296235
43.7132	-0.0203015
43.7144	-0.000983477
43.7873	-0.0155812
43.7415	0.00170279
43.7342	-0.00977838
43.6835	-0.00462538
43.8723	-0.00451267
43.9124	-0.0208291
43.9009	0.00589782
43.8872	-0.00735807
43.9601	-0.00735444
44.0333	-0.00396484
43.9856	-0.0208543
44.0756	0.00610626
44.192	-0.00567484
44.2416	-0.00850421
44.1184	-0.00721955
44.1527	-0.0103956
44.2462	-0.000360548
44.2145	-0.00493079
44.1394	-0.0120969
44.1363	-0.00348771
44.1954	0.000959277
44.0421	-0.0244314
43.9871	0.0174783
44.0077	-0.0221355
44.0703	0.00721979
43.949	-0.0223764
43.8491	0.0158221
43.8681	-0.0188001
43.8796	-0.00681287
43.7365	0.000372529
43.719	-0.0162419
43.875	0.00566137
43.8223	-0.0147331
43.7087	0.00589281
43.7873	-0.0157508
43.9097	-0.0026266
43.92	-0.000352621
43.9063	-0.0111066
